Time(s),Chamber Pressure(Pa),Thrust(N)
0,1530546.04244,0
0.03,1547129.62577,592.83372
0.06,1563768.1365,601.27291
0.09,1580460.4777,609.73941
0.12,1597205.54425,618.23265
0.15,1614002.22294,626.75207
0.18,1630849.39264,635.2971
0.21,1647745.92435,643.86716
0.24,1664690.68139,652.46169
0.27,1681682.51946,661.08009
0.3,1698720.28681,669.72179
0.33,1715802.8243,678.3862
0.36,1732928.96561,687.07273
0.39,1750097.53728,695.78077
0.42,1767307.35887,704.50974
0.45,1784557.24311,713.25903
0.48,1801845.99596,722.02803
0.51,1819172.41679,730.81614
0.54,1836535.29848,739.62274
0.57,1853933.42757,748.44722
0.6,1871365.58435,757.28896
0.63,1888830.54302,766.14733
0.66,1906327.0718,775.02172
0.69,1923853.93307,783.9115
0.72,1941409.88349,792.81602
0.75,1958993.67413,801.73467
0.78,1976604.0506,810.6668
0.81,1994239.7532,819.61178
0.84,2011899.51702,828.56897
0.87,2029582.07207,837.53771
0.9,2047286.14346,846.51736
0.93,2065010.45148,855.50728
0.96,2082753.71174,864.50682
0.99,2100514.63533,873.51531
1.02,2118291.92892,882.5321
1.05,2136084.29494,891.55654
1.08,2153890.43164,900.58797
1.11,2171709.03331,909.62571
1.14,2189538.79034,918.66912
1.17,2207378.3894,927.71751
1.2,2225226.51356,936.77023
1.23,2243081.84243,945.82661
1.26,2260943.05229,954.88597
1.29,2278808.81622,963.94763
1.32,2296677.80426,973.01094
1.35,2314548.68351,982.0752
1.38,2332420.1183,991.13974
1.41,2350290.77032,1000.20389
1.44,2368159.29873,1009.26696
1.47,2386024.36033,1018.32827
1.5,2403884.60967,1027.38714
1.53,2421738.69923,1036.44289
1.56,2439585.27951,1045.49483
1.59,2457422.99917,1054.54227
1.62,2475250.5052,1063.58453
1.65,2493066.44306,1072.62093
1.68,2510869.45677,1081.65077
1.71,2528658.18908,1090.67336
1.74,2546431.28162,1099.68803
1.77,2564187.37501,1108.69407
1.8,2581925.10902,1117.6908
1.83,2599643.12269,1126.67753
1.86,2617340.05448,1135.65356
1.89,2635014.5424,1144.61821
1.92,2652665.22416,1153.57079
1.95,2670290.73731,1162.5106
1.98,2687889.71933,1171.43695
2.01,2705460.80785,1180.34916
2.04,2723002.64072,1189.24653
2.07,2740513.85617,1198.12836
2.1,2757993.09296,1206.99398
2.13,2775438.9905,1215.84269
2.16,2792850.18898,1224.6738
2.19,2810225.32956,1233.48662
2.22,2827563.05442,1242.28046
2.25,2844862.00696,1251.05463
2.28,2862120.83195,1259.80846
2.31,2879338.1756,1268.54124
2.34,2896512.68574,1277.2523
2.37,2913643.01196,1285.94095
2.4,2930727.80573,1294.6065
2.43,2947765.72055,1303.24827
2.46,2964755.41205,1311.86559
2.49,2981695.53818,1320.45777
2.52,2998584.7593,1329.02412
2.55,3015421.73834,1337.56398
2.58,3032205.1409,1346.07667
2.61,3048933.63543,1354.5615
2.64,3065605.89335,1363.01781
2.67,3082220.58914,1371.44493
2.7,3098776.40055,1379.84218
2.73,3115272.00864,1388.20889
2.76,3131706.09801,1396.5444
2.79,3148077.35685,1404.84804
2.82,3164384.47712,1413.11915
2.85,3180626.15465,1421.35707
2.88,3196801.08931,1429.56113
2.91,3212907.9851,1437.73069
2.94,3228945.55029,1445.86508
2.97,3244912.49755,1453.96365
3.0,3260807.54411,1462.02575
3.03,3276629.41183,1470.05074
3.06,3292376.82737,1478.03796
3.09,3308048.5223,1485.98678
3.12,3323643.23324,1493.89655
3.15,3339159.70198,1501.76663
3.18,3354596.67559,1509.5964
3.21,3369952.90655,1517.38521
