Time(s),Thrust(N)
0,0
0.005,22.44866
0.01,22.9889
0.015,23.53068
0.02,24.07401
0.025,24.61888
0.03,25.16529
0.035,25.71323
0.04,26.26271
0.045,26.81371
0.05,27.36624
0.055,27.92028
0.06,28.47585
0.065,29.03293
0.07,29.59151
0.075,30.15161
0.08,30.7132
0.085,31.2763
0.09,31.84089
0.095,32.40698
0.1,32.97455
0.105,33.54361
0.11,34.11415
0.115,34.68617
0.12,35.25966
0.125,35.83463
0.13,36.41106
0.135,36.98896
0.14,37.56831
0.145,38.14912
0.15,38.73139
0.155,39.31511
0.16,39.90027
0.165,40.48687
0.17,41.07491
0.175,41.66439
0.18,42.2553
0.185,42.84764
0.19,43.4414
0.195,44.03658
0.2,44.63318
0.205,45.23119
0.21,45.83062
0.215,46.43145
0.22,47.03368
0.225,47.63731
0.23,48.24233
0.235,48.84875
0.24,49.45656
0.245,50.06575
0.25,50.67632
0.255,51.28827
0.26,51.90159
0.265,52.51628
0.27,53.13234
0.275,53.74976
0.28,54.36854
0.285,54.98867
0.29,55.61016
0.295,56.23299
0.3,56.85717
0.305,57.48268
0.31,58.10954
0.315,58.73772
0.32,59.36724
0.325,59.99808
0.33,60.63025
0.335,61.26373
0.34,61.89853
0.345,62.53464
0.35,63.17205
0.355,63.81077
0.36,64.45079
0.365,65.0921
0.37,65.73471
0.375,66.3786
0.38,67.02378
0.385,67.67025
0.39,68.31798
0.395,68.967
0.4,69.61728
0.405,70.26883
0.41,70.92164
0.415,71.57571
0.42,72.23103
0.425,72.88761
0.43,73.54543
0.435,74.2045
0.44,74.86481
0.445,75.52635
0.45,76.18912
0.455,76.85313
0.46,77.51836
0.465,78.18481
0.47,78.85248
0.475,79.52136
0.48,80.19145
0.485,80.86275
0.49,81.53525
0.495,82.20894
0.5,82.88384
0.505,83.55992
0.51,84.23719
0.515,84.91565
0.52,85.59528
0.525,86.27609
0.53,86.95807
0.535,87.64122
0.54,88.32554
0.545,89.01101
0.55,89.69765
0.555,90.38543
