Time(s),Thrust(N)
0,0
0.005,299.51355
0.01,295.8776
0.015,294.46323
0.02,293.34807
0.025,292.79857
0.03,291.69216
0.035,291.06043
0.04,290.5251
0.045,289.56274
0.05,288.97952
0.055,288.40496
0.06,287.59689
0.065,287.20694
0.07,286.95522
0.075,286.19603
0.08,285.95177
0.085,285.59404
0.09,285.13995
0.095,284.80699
0.1,284.35517
0.105,283.70745
0.11,283.0387
0.115,282.50383
0.12,281.93812
0.125,281.65472
0.13,281.28907
0.135,281.0237
0.14,280.51861
0.145,279.93521
0.15,279.81257
0.155,279.38773
0.16,278.80261
0.165,278.67787
0.17,278.24204
0.175,277.95491
0.18,277.77497
0.185,277.00843
0.19,276.32762
0.195,276.17674
0.2,275.64658
0.205,275.0671
0.21,274.98731
0.215,274.57849
0.22,274.03995
0.225,273.95798
0.23,273.46239
0.235,273.08654
0.24,273.07429
0.245,272.58247
0.25,272.21546
0.255,271.9681
0.26,271.44419
0.265,271.0914
0.27,270.73827
0.275,270.13816
0.28,269.62262
0.285,269.48353
0.29,268.98209
0.295,268.6605
0.3,268.45747
0.305,267.97501
0.31,267.66895
0.315,267.45637
0.32,266.82143
0.325,266.45863
0.33,266.16157
0.335,265.80757
0.34,265.57875
0.345,265.32643
0.35,264.91256
0.355,264.6085
0.36,264.21577
0.365,263.74247
0.37,263.17503
0.375,262.86501
0.38,262.59079
0.385,262.29501
0.39,261.71504
0.395,261.49672
0.4,261.21686
0.405,260.8584
0.41,260.49154
0.415,260.21759
0.42,259.68469
0.425,259.49135
0.43,259.22333
0.435,258.74168
0.44,258.47475
0.445,258.19299
0.45,257.87409
0.455,257.65741
0.46,257.31961
0.465,256.79014
0.47,256.37061
0.475,255.99953
0.48,255.57756
0.485,255.32128
0.49,254.88951
0.495,254.50153
0.5,254.41302
0.505,254.10854
0.51,253.78273
0.515,253.56622
0.52,253.23992
0.525,252.83781
0.53,252.55743
0.535,252.1624
0.54,251.84162
0.545,251.53644
0.55,251.05626
0.555,250.65178
0.56,250.3177
0.565,249.92492
0.57,249.60271
0.575,249.27005
0.58,249.08218
0.585,248.81562
0.59,248.52012
0.595,248.47461
0.6,248.24041
0.605,248.05332
0.61,248.13491
0.615,247.97198
0.62,247.86635
0.625,247.91375
0.63,247.97735
0.635,247.95199
0.64,247.98539
0.645,248.15047
0.65,248.09213
0.655,248.32996
0.66,248.50292
0.665,248.61622
0.67,248.70346
0.675,248.9983
0.68,249.20091
0.685,249.31557
0.69,249.56124
0.695,249.87002
0.7,250.06583
0.705,250.26759
0.71,250.61208
0.715,250.89408
0.72,251.14353
0.725,251.39127
0.73,251.78719
0.735,252.07463
0.74,252.35604
0.745,252.67287
0.75,253.0632
0.755,253.3798
0.76,253.70735
0.765,254.08104
0.77,254.46645
0.775,254.83668
0.78,255.19023
0.785,255.57104
0.79,255.98184
0.795,256.37922
0.8,256.72477
0.805,257.12699
0.81,257.56847
0.815,257.98079
0.82,258.34918
0.825,258.78377
0.83,259.20695
0.835,259.63917
0.84,260.0405
0.845,260.4694
0.85,260.91153
0.855,261.36965
0.86,261.77849
0.865,262.20175
0.87,262.67166
0.875,263.11656
0.88,263.56076
0.885,263.99399
0.89,264.46033
0.895,264.92132
0.9,265.37356
0.905,265.79652
0.91,266.266
0.915,266.74895
0.92,267.20176
0.925,267.65952
0.93,268.10902
0.935,268.59367
0.94,269.06497
0.945,269.52755
0.95,267.93583
0.955,250.9135
0.96,227.61218
0.965,197.72562
0.97,175.89911
0.975,159.91182
0.98,146.63938
0.985,134.89584
0.99,124.38349
0.995,115.25923
1.0,106.42841
1.005,98.22996
1.01,90.97245
1.015,83.97111
1.02,77.21603
1.025,70.90691
1.03,65.37662
1.035,59.86639
1.04,54.34882
1.045,49.09123
1.05,44.37797
1.055,39.61899
1.06,34.92729
1.065,30.78839
1.07,26.86059
1.075,22.3146
1.08,18.66423
1.085,14.88731
1.09,11.25546
1.095,8.20878
1.1,4.69016
1.105,1.40632
1.11,0
